censusVersion,repository,headSha,path,kind,liveWorkflowReferences,totalReferences,disposition,swiftOwnerCoordinate,parityEvidence,measurement,reason,referencingWorkflows
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/actions/configure-private-repos/action.yml,composite-action,3,8,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"Composite action. Intended owner is the Institute CI host projection (CI.Contract / GitHub.Control); not realised. Still consumed by the live universal workflow, so the deletion gate is unmet in both terms — no replacement activation and non-zero use. Counts toward STOP-F16-PURITY.",.github/workflows/lint-api-breakage.yml;.github/workflows/swift-ci.yml;.github/workflows/swift-docs.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/actions/enumerate-org-public-repos/action.yml,composite-action,3,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"Composite action. Intended owner is the Institute CI host projection (CI.Contract / GitHub.Control); not realised. Still consumed by the live universal workflow, so the deletion gate is unmet in both terms — no replacement activation and non-zero use. Counts toward STOP-F16-PURITY.",.github/workflows/link-check.yml;.github/workflows/submit-dep-graph-weekly.yml;.github/workflows/sync-metadata.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/actions/install-swift-sdk/action.yml,composite-action,1,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"Composite action. Intended owner is the Institute CI host projection (CI.Contract / GitHub.Control); not realised. Still consumed by the live universal workflow, so the deletion gate is unmet in both terms — no replacement activation and non-zero use. Counts toward STOP-F16-PURITY.",.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/actions/install-system-deps/action.yml,composite-action,2,7,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"Composite action. Intended owner is the Institute CI host projection (CI.Contract / GitHub.Control); not realised. Still consumed by the live universal workflow, so the deletion gate is unmet in both terms — no replacement activation and non-zero use. Counts toward STOP-F16-PURITY.",.github/workflows/swift-ci.yml;.github/workflows/swift-docs.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/actions/read-orgs/action.yml,composite-action,17,21,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"Composite action. Intended owner is the Institute CI host projection (CI.Contract / GitHub.Control); not realised. Still consumed by the live universal workflow, so the deletion gate is unmet in both terms — no replacement activation and non-zero use. Counts toward STOP-F16-PURITY.",.github/workflows/apply-rulesets-fleet.yml;.github/workflows/ci-sweep.yml;.github/workflows/link-check-weekly.yml;.github/workflows/lint-license-header-weekly.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/actions/upsert-tracking-issue/action.yml,composite-action,12,13,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"Composite action. Intended owner is the Institute CI host projection (CI.Contract / GitHub.Control); not realised. Still consumed by the live universal workflow, so the deletion gate is unmet in both terms — no replacement activation and non-zero use. Counts toward STOP-F16-PURITY.",.github/workflows/alert-scheduled-workflow-failure.yml;.github/workflows/ci-sweep.yml;.github/workflows/cron-audit-base.yml;.github/workflows/ecosystem-coherence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/audit-license-header.py,python,3,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/cron-audit-base.yml;.github/workflows/lint-license-header-weekly.yml;.github/workflows/lint-license-header.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/audit-mechanical-hygiene.py,python,2,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/cron-audit-base.yml;.github/workflows/lint-mechanical-hygiene-weekly.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/audit-setup-yamllint.py,python,2,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/cron-audit-base.yml;.github/workflows/lint-mechanical-hygiene-weekly.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/audit-test-support-spine.py,python,3,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/cron-audit-base.yml;.github/workflows/lint-test-support-spine-weekly.yml;.github/workflows/lint-test-support-spine.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/augment-effective-runtime-receipt.py,python,1,2,SUPERSEDED-GATED,Institute.Receipt.* (Tools/InstituteCI/Sources/Institute Receipt/),F10/F11/F13 receipts sealed in SWIFT-NATIVE-PROGRAMME/,MEASURED,BLOCKED: still invoked by live swift-ci.yml steps; cutover is F12/F16 activation work with a hosted canary.,.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/build-dep-graph-snapshot.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/submit-dep-graph-weekly.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/build-verdict-inventory.py,python,0,2,RETAINED-TYPED,(none realised),n/a,MEASURED,"Typed as RepositoryPolicy residue on swift-institute/.github#390. CHECKED at this head: no Swift verdict-inventory owner exists anywhere in Tools/ (unfiltered enumeration of Tools/*/Sources/*/, positive control: Repository.Policy.Caller.Render found by the same enumeration). Missing replacement is the finding.",
